Date,Name,Year,Letterboxd URI,Rating
2024-12-12,Gladiator II,2024,https://boxd.it/kqQQ,3
2024-12-25,The Holdovers,2023,https://boxd.it/vHza,4
2024-12-27,Guns Akimbo,2019,https://boxd.it/gkFu,2.5
2025-01-24,Escape,2024,https://boxd.it/EN2E,3
2025-01-24,Close,2022,https://boxd.it/y4qa,4
2025-01-30,The Brutalist,2024,https://boxd.it/k4BO,4
2025-02-06,Flow,2024,https://boxd.it/v1Ei,3.5
2025-02-07,Porco Rosso,1992,https://boxd.it/1Tp2,4
2025-02-13,Anora,2024,https://boxd.it/Egcw,3
2025-02-20,Shrek,2001,https://boxd.it/29zi,3.5
2025-02-25,Puss in Boots,2011,https://boxd.it/eL34,3
2025-02-26,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,3.5
2025-03-07,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,2.5
2025-03-13,Conclave,2024,https://boxd.it/AO8q,4.5
2025-03-15,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2025-03-19,In the Mood for Love,2000,https://boxd.it/29tE,5
2025-03-25,Chungking Express,1994,https://boxd.it/1UDa,4.5
2025-03-26,The Big Short,2015,https://boxd.it/ajZw,3.5
2025-03-27,Ferrari,2023,https://boxd.it/cEtq,3
2025-03-28,The Iron Claw,2023,https://boxd.it/w5Pm,3
2025-04-05,The Social Network,2010,https://boxd.it/17ue,3
2025-04-08,The Outfit,2022,https://boxd.it/u6Eq,3.5
2025-04-22,Big Fish,2003,https://boxd.it/2a3M,4.5
2025-04-22,Snatch,2000,https://boxd.it/2b7U,3.5
2025-05-14,Mickey 17,2025,https://boxd.it/q1Dk,3.5
2025-05-15,Who Am I,2014,https://boxd.it/8ND2,3
2025-05-24,Mufasa: The Lion King,2024,https://boxd.it/sE9C,2.5
2025-05-30,Thunderbolts*,2025,https://boxd.it/BfbQ,3.5
2025-06-02,Carmen & Lola,2018,https://boxd.it/iOYq,3.5
2025-06-02,Antes de nós,2025,https://boxd.it/U1Wc,4.5
2025-06-02,Don't Look Up,2021,https://boxd.it/o0Hc,3.5
2025-06-02,Bullet Train,2022,https://boxd.it/qW26,3
2025-06-02,Glass Onion,2022,https://boxd.it/oCkK,3.5
2025-06-07,The Phoenician Scheme,2025,https://boxd.it/H0Ca,4
2025-06-29,Sirāt,2025,https://boxd.it/HxJo,3
2025-08-11,GoodFellas,1990,https://boxd.it/29FA,3.5
2025-08-31,Hit Man,2023,https://boxd.it/ANB2,3.5
2025-09-08,Away,2025,https://boxd.it/SdXW,3
2025-09-11,Romería,2025,https://boxd.it/IR3k,3
2025-09-22,Caddo Lake,2024,https://boxd.it/wDSu,3.5
2025-09-27,Playa de lobos,2025,https://boxd.it/Rf06,4
2025-09-30,Gunman,2025,https://boxd.it/TGZk,4
2025-10-01,My Killer Buddy,2023,https://boxd.it/JkBA,4
2025-10-02,It Was Just an Accident,2025,https://boxd.it/TX2k,4
2025-10-08,Under the Silver Lake,2018,https://boxd.it/dSAs,3.5
2025-10-09,One Battle After Another,2025,https://boxd.it/DUHM,4
2025-10-26,F1,2025,https://boxd.it/yjVM,3.5
2025-10-28,Sundays,2025,https://boxd.it/TqIW,4
2025-10-30,Black Dog,2024,https://boxd.it/Lzqm,4.5
2025-11-07,The Incredibles,2004,https://boxd.it/1XLm,5
2025-11-12,"Paris, Texas",1984,https://boxd.it/29Ts,4.5
2025-11-18,Princess Mononoke,1997,https://boxd.it/2b4w,4.5
2025-11-20,Bugonia,2025,https://boxd.it/qeWY,4
